No.,Layer (대분류),Category (중분류),Sub-category (소분류),회사명,구분,상장여부,HQ지역,Company Mission,한줄 설명 (비고),중요도
1,A. Physical Infrastructure,A1. Energy & Power,Nuclear/SMR,Oklo,Nuclear/SMR,상장,미국,Powering the future with advanced fission,"Sam Altman 의장, 소형 원자로(SMR) 기반 AI DC 전력 공급",High
2,A. Physical Infrastructure,A1. Energy & Power,Nuclear/SMR,TerraPower,Nuclear/SMR,비상장,미국,Raising living standards globally through nuclear energy innovation,"Bill Gates 설립, 차세대 원자로 Natrium 기술 및 전력망 연계",High
3,A. Physical Infrastructure,A1. Energy & Power,Nuclear/SMR,NuScale Power,Nuclear/SMR,상장,미국,Providing scalable advanced nuclear technology,"VOYGR SMR 기술, 무탄소 DC 전력 인프라 주도",High
4,A. Physical Infrastructure,A1. Energy & Power,Nuclear/SMR,X-energy,Nuclear/SMR,상장,미국,Delivering the benefits of advanced nuclear energy,Xe-100 고온 가스 원자로 기반 DC 전력 공급,High
5,A. Physical Infrastructure,A1. Energy & Power,Nuclear/SMR,Kairos Power,Nuclear/SMR,비상장,미국,Enabling the world's transition to clean energy,"용융염 원자로 기술, Google DC 전력 공급 협력",High
6,A. Physical Infrastructure,A1. Energy & Power,Nuclear/SMR,Rolls-Royce SMR,Nuclear/SMR,상장,영국,Delivering low-cost clean power,유럽 기반 소형 원자로 및 DC 비상 발전 솔루션,Medium
7,A. Physical Infrastructure,A1. Energy & Power,Nuclear/Utility,Constellation Energy,Nuclear/Utility,상장,미국,Generating clean energy to power everyday life,"미국 최대 원전 운영사, MS DC 전력 공급 계약 리더",High
8,A. Physical Infrastructure,A1. Energy & Power,Nuclear/Utility,Talen Energy,Nuclear/Utility,상장,미국,Powering a brighter future,Susquehanna 원전 기반 AWS DC 전력 공급 계약,High
9,A. Physical Infrastructure,A1. Energy & Power,Fusion Energy,Helion Energy,Fusion Energy,비상장,미국,"Creating a new era of plentiful, zero-carbon electricity","핵융합 발전 선두, Microsoft 전력 공급 계약 체결",High
10,A. Physical Infrastructure,A1. Energy & Power,Fusion Energy,Commonwealth Fusion,Fusion Energy,비상장,미국,Commercializing fusion energy,"MIT 스핀오프, 고온초전도 토카막 핵융합 기술 선두",High
11,A. Physical Infrastructure,A1. Energy & Power,Fusion Energy,TAE Technologies,Fusion Energy,비상장,미국,Developing commercially viable fusion power,"Google 투자 핵융합 에너지, 빔 기반 FRC 방식",Medium
12,A. Physical Infrastructure,A1. Energy & Power,Power/Grid & UPS,Schneider Electric,Power/Grid,상장,프랑스,Bridging progress and sustainability for all,"글로벌 DC 전력 관리 1위, 유럽 에너지 인프라 지배",High
13,A. Physical Infrastructure,A1. Energy & Power,Power/Grid & UPS,Eaton,Power/Grid,상장,미국,Making what matters work,지능형 배전 솔루션 및 전원 보호 시스템 리더,High
14,A. Physical Infrastructure,A1. Energy & Power,Power/Grid & UPS,ABB,Power/Grid,상장,스위스,Technology leader in electrification and automation,DC 전력 자동화 및 스마트 그리드 기술 선두,High
15,A. Physical Infrastructure,A1. Energy & Power,Power/Grid & UPS,Siemens,Power/Grid,상장,독일,Technology for a sustainable future,유럽 산업용 전력망 및 DC 에너지 효율화 전문,High
16,A. Physical Infrastructure,A1. Energy & Power,Power/Grid & UPS,GE Vernova,Power/Grid,상장,미국,Electrifying and decarbonizing the world,천연가스 및 재생 에너지 DC 전력 솔루션,High
17,A. Physical Infrastructure,A1. Energy & Power,Power/Grid & UPS,Forgent (FPS),Power/Grid,상장,미국,Custom power infrastructure for AI data centers,AI DC 전용 전기 배전 장비 및 맞춤형 파워트레인 전문,Medium
18,A. Physical Infrastructure,A1. Energy & Power,Power/Grid & UPS,Legrand,Power/Rack,상장,프랑스,Improving lives with electrical and digital infrastructure,DC용 PDU 및 에너지 관리 솔루션 유럽 강자,Medium
19,A. Physical Infrastructure,A1. Energy & Power,Power/Grid & UPS,Vertiv (Power),Power/UPS,상장,미국,Keeping critical infrastructure running,UPS/배전 포함 통합 전력 인프라 공급,High
20,A. Physical Infrastructure,A1. Energy & Power,Power/Grid & UPS,Socomec,Power/UPS,비상장,프랑스,Mastering the critical power chain,전력 가용성 제어 시스템 전문,Low
21,A. Physical Infrastructure,A1. Energy & Power,Power/Grid & UPS,Riello Elettronica,Power/UPS,비상장,이탈리아,Protecting critical infrastructure,고효율 UPS 및 에너지 저장 솔루션 공급,Low
22,A. Physical Infrastructure,A1. Energy & Power,Power/Grid & UPS,Piller Power,Power/UPS,비상장,독일,Protecting critical power supplies,대규모 DC용 무정전 전원 공급 장치 전문,Low
23,A. Physical Infrastructure,A1. Energy & Power,Power Generation,Cummins,Power/Gen,상장,미국,Powering a more prosperous world,DC 비상용 발전기 및 수소 전지 기술 리더,High
24,A. Physical Infrastructure,A1. Energy & Power,Power Generation,Caterpillar,Power/Gen,상장,미국,Building the world's infrastructure,대형 DC 비상 발전기 및 가스 터빈 공급,High
25,A. Physical Infrastructure,A1. Energy & Power,Power Generation,MTU Onsite Energy,Power/Gen,비상장,독일,Reliable power generation solutions,Rolls-Royce 계열 DC 전용 발전기 시스템,Low
26,A. Physical Infrastructure,A1. Energy & Power,Fuel Cell,Bloom Energy,Fuel Cell,상장,미국,"Making clean, reliable energy affordable","고효율 고체산화물 연료전지, DC 현장 발전 선두",High
27,A. Physical Infrastructure,A1. Energy & Power,Fuel Cell,Plug Power,Fuel Cell,상장,미국,Building the hydrogen economy,그린수소 연료전지 기반 DC 백업 전원 솔루션,Medium
28,A. Physical Infrastructure,A1. Energy & Power,ESS & Renewable,Tesla Energy,ESS/Power,상장,미국,Accelerating the world's transition to sustainable energy,Megapack 기반 DC 전력 저장 및 최적화,High
29,A. Physical Infrastructure,A1. Energy & Power,ESS & Renewable,Fluence Energy,ESS/Battery,상장,미국,Transforming the way we power our world,"Siemens-AES 합작, 유틸리티급 ESS 솔루션",Medium
30,A. Physical Infrastructure,A1. Energy & Power,ESS & Renewable,Form Energy,ESS/Battery,비상장,미국,Delivering multi-day energy storage,철-공기 배터리 기반 초장시간 에너지 저장,Medium
31,A. Physical Infrastructure,A1. Energy & Power,ESS & Renewable,EOS Energy,ESS/Battery,상장,미국,"Safe, scalable, sustainable energy storage",아연-브로마이드 배터리 기반 DC 에너지 저장,Low
32,A. Physical Infrastructure,A1. Energy & Power,ESS & Renewable,Nyobolt,ESS/Battery,비상장,영국,Ultra-fast charging battery technology,초고속 충전 배터리 기술 기반 DC 에너지 저장,Low
33,A. Physical Infrastructure,A1. Energy & Power,ESS & Renewable,NextEra Energy,Renewable,상장,미국,Building a sustainable energy future,"미국 최대 재생에너지 발전사, DC PPA 확대",High
34,A. Physical Infrastructure,A1. Energy & Power,ESS & Renewable,AES Corporation,Renewable,상장,미국,Accelerating the future of energy,재생에너지 및 ESS 기반 DC 전력 솔루션,Medium
35,A. Physical Infrastructure,A1. Energy & Power,ESS & Renewable,Vistra Energy,Power/Gen,상장,미국,Powering a brighter future for all,"미국 최대 독립 발전사, AI DC 전력 공급 계약 확대",High
36,A. Physical Infrastructure,A1. Energy & Power,Energy Tech,Flower,Energy Tech,비상장,스웨덴,Optimizing energy infrastructure,유럽 그리드 최적화 및 유연한 에너지 인프라,Low
37,A. Physical Infrastructure,A1. Energy & Power,Energy Tech,Fuse Energy,Energy Tech,비상장,영국,Distributed energy innovation,소비자 및 기업용 분산 에너지 공급 혁신,Low
38,A. Physical Infrastructure,A1. Energy & Power,Energy Tech,Reonic,Energy Tech,비상장,독일,Commercial energy system design,상업용 에너지 시스템 설계 및 관리 SW,Low
39,A. Physical Infrastructure,A1. Energy & Power,Energy Tech,Vastra,Energy Tech,비상장,영국,Intelligent grid services,에너지 분산 관리 및 지능형 그리드 서비스,Low
40,A. Physical Infrastructure,A1. Energy & Power,Energy Tech,Enrogen,Energy Tech,비상장,영국,Hybrid power for data centers,DC 전용 하이브리드 발전 시스템 공급,Low
41,A. Physical Infrastructure,A1. Energy & Power,Energy Tech,Enchant Energy,CCS/Power,비상장,미국,Carbon capture for clean power,탄소 포집 기반 청정 전력 공급,Low
42,A. Physical Infrastructure,A2. Thermal Management,Liquid Cool,Vertiv (Thermal),Liquid Cool,상장,미국,Keeping critical infrastructure running,"NVIDIA 파트너, 공랭/액침 통합 냉각 솔루션",High
43,A. Physical Infrastructure,A2. Thermal Management,Liquid Cool,Submer,Liquid Cool,비상장,스페인,Sustainable liquid immersion cooling,유럽 기반 단상 액침 냉각 기술 혁신 리더,High
44,A. Physical Infrastructure,A2. Thermal Management,Liquid Cool,Asetek,Liquid Cool,상장,덴마크,Liquid cooling for data centers,Direct-to-Chip 액체 냉각 분야 글로벌 선두,High
45,A. Physical Infrastructure,A2. Thermal Management,Liquid Cool,CoolIT Systems,Liquid Cool,비상장,캐나다,Direct liquid cooling at rack scale,Direct Liquid Cooling 랙 레벨 솔루션 리더,High
